ID,Title,Company,Location,Summary
6860ef41450410f5,Software Engineer @ ComFreight,Triplebyte,"Los Angeles, CA","Knowledge of Postgres, Celery, Python 2.7 and Python 3.x.4 years of production Python experience.This role will be responsible for direct API development,…"
9953f2f6dda2a56e,Senior Quantitative Developer,Vichara Technologies,"Los Angeles, CA","NET, C#, MVC, WPF, WCF, Python, R, and JavaScript.The Senior Quantitative Developer will join the application development team that is responsible for…"
041973965d71aa73,System/Network Engineer – Entry Level,DZ Solutions,"Burbank, CA",Willingness to learn new tools and skills.Good written and verbal communication skills.Ability to multi-task and work collaboratively within a team…
6352fbaa2eb51648,Psychometrician,WPS - Western Psychological Services,"Torrance, CA 90503","Experienced in coding SPSS and R or Python.This is a full-time position in L.A.’s breezy South Bay, and local candidates are preferred."
9a342be97541c2eb,Data Architect / Sr. Data Engineer,Fullscreen Media,"Los Angeles, CA 90094",5+ years experience with python or another similar language.Python or similar scripting language (please specify below): 4 years (Preferred).
ee306ef0c29268b1,Python Developer,Jobot,"Los Angeles, CA 90028","Python Engineer for landmark LA Fin-tech company!Versed in Python, Django, Celery, Postgres, Redis, RabbitMQ, Heroku, AWS, Linux.What can we do for you?"
b6f8c2f51d116073,Sales Data Analyst,Red Bull Distribution Company,"Santa Monica, CA","Knowledge of or exposure to R, Python or other statistical programming languages/tools is a plus.In this position, the successful candidate will play a key…"
71f00f65e6308737,Project Assistant,USC,"Marina del Rey, CA","A working knowledge of FSL, FreeSurfer, Python, Matlab, Unix/Linux, and R are strongly preferred.The University of Southern California Imaging Genetics Center …"
f26d15d6e701d838,Mapping/Technology Specialist,UCLA,"Los Angeles, CA","The California Center for Sustainable Communities is hiring a specialist in mapping software and technology, including ArcGIS, LiDAR processing, Adobe Suite,…"
5a54616bac12e71d,Entry Level Quality Assurance Intern (Paid),Internet Brands,"Los Angeles, CA","Java, PHP, or Python preferred.L.A. based online media company, Internet Brands is currently looking for entry level Quality Assurance Interns to join our…"
7a20786987884274,Python/ReactJS Software Developer,2nd Logic,"Los Angeles, CA",We are looking for a couple of software developers with solid understanding and interest in working with large data sets.The skills we are looking for:
043ef0afb0d59d48,Data and Insights Research Associate,Capital Group,"Los Angeles, CA 90071","Intermediate or better skills in programming languages such as Python and R would be viewed upon favorably.You’ll assemble and review data, conduct analyses,…"
3cd401f6dabe1566,Software Engineer,"Raybeam, Inc.","Los Angeles, CA 90094",This position is for a major search engine and you will be required to work onsite in Los Angeles at the client site everyday..Who are we looking for?.
22f2066a6c3c6cd6,Rigging TD,Technicolor,"Los Angeles, CA","Mel and/or Python scripting ability is desirable, particularly within MotionBuilder & Blade.The Rigging TD is responsible for rigging of characters as well…"
3a376da0784075d1,Data Analyst,GH:S Traktor City,"Los Angeles, CA 90001",Knowledge of python is preferable.These will be your tasks.Working with the current business team to understand the source of data and created mapping to the…
7a20786987884274,Python/ReactJS Software Developer,2nd Logic,"Los Angeles, CA",We are looking for a couple of software developers with solid understanding and interest in working with large data sets.The skills we are looking for:
c0c850db1f107778,Software Engineer,Triplebyte,"Los Angeles, CA","For any company building software, this is crucial for success.We all went through the Triplebyte process : ).Our frontend is mostly in React/Redux."
44c3075faf874ebb,Workflow Artist,The Third Floor,"Los Angeles, CA 90036","Python, Mel, C++, and/or other coding experience is a plus but not required.Recent films projects Marvel’s Avengers Endgame, The Star Wars Franchise & Game of…"
e21a92acd6e980c1,Business Intelligence Intern,Direct Agents,"Culver City, CA 90232","Experience R and/or Python is plus.As a Business Intelligence Intern, you will work with an experienced and passionate team to learn and create tangible value…"
7a20786987884274,Python/ReactJS Software Developer,2nd Logic,"Los Angeles, CA",We are looking for a couple of software developers with solid understanding and interest in working with large data sets.The skills we are looking for:
71f00f65e6308737,Project Assistant,USC,"Marina del Rey, CA","A working knowledge of FSL, FreeSurfer, Python, Matlab, Unix/Linux, and R are strongly preferred.The University of Southern California Imaging Genetics Center …"
a525b2de199d0a19,Social Media Growth Hacker,CoEfficient Labs,"Santa Monica, CA 90405 (Ocean Park area)","The Social Media Growth Hacker We’re Looking For: .The Social Media Growth Hacker position requires a combination of design skills, innate communication, and…"
